,cities,state,salary
0,Batavia, IL,57500.0
1,Buffalo Grove, IL,87776.0
2,Chicago, IL,70507.0
3,Des Plaines, IL,48172.0
4,Lincolnshire, IL,74912.0
5,North Chicago, IL,54246.399999999994
6,Oak Brook, IL,72738.0
7,Peoria, IL,65361.0
8,Rolling Meadows, IL,45000.0
9,Schaumburg, IL,45388.0
10,Indianapolis, IN,56035.200000000004
11,Des Moines, IA,70627.0
12,West Des Moines, IA,32385.600000000002
13,Dearborn, MI,90979.2
14,Plymouth, MI,90631.0
15,Port Huron, MI,52835.0
16,Portage, MI,57574.4
17,Warren, MI,70512.0
18,Wayne, MI,54113.0
19,Chanhassen, MN,38105.6
20,Eden Prairie, MN,70699.2
21,Elk River, MN,44616.0
22,Maplewood, MN,49940.8
23,Minneapolis, MN,78894.4
24,Saint Paul, MN,47985.6
25,Earth City, MO,44470.4
26,Kansas City, MO,54418.0
27,O'Fallon, MO,89749.0
28,Overland, MO,89450.0
29,St. Louis, MO,63212.0
30,Lincoln, NE,38188.799999999996
31,Omaha, NE,52905.0
32,Broadview Heights, OH,100000.0
33,Cincinnati, OH,71240.0
34,Columbus, OH,59280.0
35,Fremont, OH,116288.0
36,Mason, OH,38396.8
37,Miamisburg, OH,36836.8
38,Richfield, OH,105965.0
39,Walton Hills, OH,30513.6
40,Glendale, WI,64000.0
41,Madison, WI,94120.0
42,Mequon, WI,69833.0
43,Schofield, WI,103945.0
44,Sturtevant, WI,53643.2
