,cities,state,salary
0,Tuscaloosa, AL,49744.0
1,Bentonville, AR,62335.0
2,Manila, AR,20000.0
3,Wilmington, DE,92830.40000000001
4,Washington, DC,73523.0
5,Altamonte Springs, FL,84555.0
6,Bartow, FL,34652.8
7,Boca Raton, FL,60194.0
8,Delray Beach, FL,77012.0
9,Doral, FL,63915.0
10,Jacksonville, FL,54163.2
11,Lake Mary, FL,48880.0
12,Miami, FL,61076.0
13,New Port Richey, FL,60070.4
14,Orlando, FL,74380.8
15,Palm Springs, FL,50799.0
16,Tampa, FL,61276.8
17,Winter Haven, FL,39419.0
18,Alpharetta, GA,64657.0
19,Atlanta, GA,65932.0
20,Norcross, GA,49566.399999999994
21,Savannah, GA,68432.0
22,Smyrna, GA,49982.4
23,Tifton, GA,59793.0
24,Georgetown, KY,101108.8
25,Lexington, KY,63104.0
26,Louisville, KY,46384.0
27,Monroe, LA,108867.20000000001
28,Baltimore, MD,82565.0
29,Bowie, MD,75474.0
30,Clinton, MD,99504.0
31,Frederick, MD,99883.0
32,Linthicum, MD,55702.4
33,Rockville, MD,99756.8
34,Chapel Hill, NC,45073.600000000006
35,Charlotte, NC,92835.0
36,Durham, NC,69617.59999999999
37,Greenville, NC,66789.0
38,Raleigh, NC,91062.40000000001
39,Research Triangle Park, NC,66934.4
40,Wilmington, NC,64658.0
41,Calumet, OK,47652.8
42,Oklahoma City, OK,85256.0
43,Columbia, SC,53236.0
44,Fort Mill, SC,81369.59999999999
45,Greenville, SC,57721.0
46,Brentwood, TN,62017.0
47,Memphis, TN,53393.600000000006
48,Nashville, TN,54828.799999999996
49,Addison, TX,43472.0
50,Austin, TX,65208.0
51,Dallas, TX,67932.79999999999
52,El Paso, TX,37336.0
53,Fort Worth, TX,62816.0
54,Houston, TX,69390.0
55,Irving, TX,69659.2
56,Lewisville, TX,68172.0
57,Lubbock, TX,48755.200000000004
58,McKinney, TX,73320.0
59,Plano, TX,76128.0
60,Richardson, TX,56434.0
61,San Antonio, TX,84706.0
62,The Woodlands, TX,66769.0
63,Alexandria, VA,64657.0
64,Arlington, VA,74771.0
65,Ashburn, VA,72633.6
66,Charlottesville, VA,63148.799999999996
67,Chesterfield, VA,48255.0
68,Fairfax, VA,85044.0
69,McLean, VA,120099.2
70,Reston, VA,82475.0
71,Richmond, VA,65715.0
72,Sterling, VA,88526.0
